station,startDateTimeUTC
EGLC,2008-11-01 15:01:00+00:00
EGLC,2008-11-08 15:01:00+00:00
EGLC,2008-10-11 15:01:00+01:00
EGLC,2008-10-14 19:46:00+01:00
EGLC,2008-10-28 19:46:00+00:00
EGLC,2008-10-25 15:01:00+01:00
EGLC,2008-09-27 15:01:00+01:00
EGLC,2008-09-29 19:46:00+01:00
EGLC,2008-09-09 19:46:00+01:00
EGLC,2008-09-23 19:46:00+01:00
EGLC,2008-09-06 15:01:00+01:00
EGLC,2008-09-20 15:01:00+01:00
EGLC,2008-08-26 19:46:00+01:00
EGLC,2008-08-23 15:01:00+01:00
EGLC,2008-08-18 19:46:00+01:00
EGLC,2008-08-16 15:01:00+01:00
